Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
hi,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hi'>hi</a>
hello,Hello World!
how are you,I am a Chatbot.
what is you name,ChatBot.
Hello,Hello World!
Hello,Hello World!
hello,Hello World!
what is your name,ChatBot.
is what name your,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=is what name your'>is what name your</a>
Hello,Hello World!
Hello,Hello World!
hello,Hello World!
how are you,I am a Chatbot.
what is your name,ChatBot.
Hello,Hi
hello,Hello there
how are you,I'm good and you ?
I'm good,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=I'm good'>I'm good</a>
Hello,Hello there
hello,Hello there
how are you,I'm good and you ?
Hello,Hello World!
hello,Hello there
how are you,I'm good and you ?
how r you?,I am a Chatbot.
how r you?,I'm good and you ?
how are u,I'm good and you ?
good,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=good'>good</a>
Hello,Hello World!
Hi,Hello World!
How are you,I'm good and you ?
What are you,I am a ChatBot running on Python and a dash of artificial intelligence.
