Human Says:,ChatBot Says:
Quelle heure est-il?,getTIME
quelle heure as-tu?,getTIME
le temps?,getTIME
When is it?,getTIME
Quel jour est-il?,getDATE
Quelle est la date?,getDATE
Savez-vous quelle heure il est?,getTIME
As-tu le temps,getTIME
IDKnull,Je ne sais pas.
IDKnull,Je vais devoir prendre un peu de temps pour y réfléchir.
IDKnull,Pouvez-vous essayer de reformuler cela s'il vous plaît?
IDKnull,Je ne suis pas certain de ça.
IDKnull,Y a-t-il une autre façon de demander cela ?
IDKnull,Je n'ai pas de réponse à cela.
IDKnull,Je vais devoir y réfléchir.
IDKnull,Je ne sais pas vraiment ce que vous demandez.
IDKnull,Il y a certaines choses que je ne sais pas encore.
IDKnull,Je ne suis pas un expert là-dessus.
IDKnull,Je ne pourrais pas vous le dire.
Nothing,Quoi?
Nothing,Je pense que tu as appuyé sur la mauvaise touche...
Nothing,Que vouliez-vous demander ?
Nothing,Parlons de quelque chose.
Nothing,Une fois de plus?
Qui es-tu?,Je suis un ChatBot
Quel est ton nom?,ChatBot.
Bonjour,Bonjour à vous!
Salut!,Bonjour!
Comment allez-vous?,Je vais bien. Comment allez-vous?
Je t'aime bien.,Je vous aime aussi.
Je ne t'aime pas.,Je suis désolé d'entendre ça.
Tu es gentil.,"Merci, tu as l'air sympa aussi."
T'es cool.,Ditto!
Tu es intelligent.,J'ai travaillé dur pour le devenir.
Hello,Bonjour à tous!
Hi,Hé!
Bonjour,Ça me fait plaisir de te voir!
Ravi de vous rencontrer.,Enchanté de vous rencontrer aussi!
Je pense que tu es génial !,C'est gentil de dire ça !
Qu'est-ce qu'une crise d'asthme ?,"La crise d'asthme est un episode de gene respiratoire sifflante (dyspnee). Elle est caracterisee par :Une inflammation des bronches ,Une contraction des muscles qui entourent les bronches (qui rend le passage de l'air plus difficile, surtout a l’expiration) Une grande secretion de mucus (substance qui protege les bronches) ce qui réduit l'espace pour le flux d’air"
Qu'est-ce qui declenche une crise d'asthme ?,"Plusieurs facteurs peuvent declencher une crise d'asthme. Ils different d'un patient asthmatique a un autre : Allergenes : acariens, pollens, poils d'animaux, moisissures ,Tabac ,Stress et anxiete , Activite physique ,Substances polluantes ou irritantes ,Virus respiratoire ,Certains medicaments : aspirine, anti-inflammatoires non steroïdiens ,Certains aliments (en cas d'allergie). "
Les gestes d'urgence face a une crise d'asthme ,"Gardez votre calme et rassurez la victime. En effet, l'angoisse ne peut qu'aggraver la crise ,Mettez la victime dans la position ou elle se sent le mieux (souvent une position assise) et desserrez ses vetements. Surtout, il ne faut pas allonger un malade qui présente une crise d'asthme ,Demandez-lui de respirer lentement et profondement ,Demandez-lui si elle prend habituellement des medicaments (BDCA), procurez-les lui et facilitez leur auto-administration ,S'il s'agit d'une premiere crise, la victime n'a aucun médicament. Dans ce cas, ne lui donnez aucun medicament sans prescription medicale et appelez son medecin traitant ou en son absence le SAMU (15) ,Conformez-vous ensuite aux conseils qui vous seront donnes par le medecin. "
"En cas de crise d'asthme, quand doit-on appeler les urgences ?","Il faut se rendre aux urgences ou appeler le SAMU si la crise est inhabituelle, ou si les medicaments habituellement efficaces ne marchent pas"", explique le Pr Alain Didier, pneumologue et allergologue, chef de service de pneumologie du CHU de Toulouse dans une interview pour la Fondation du Souffle"
Quoi faire Lorsqu’une personne diabetique perd conscience," le premier geste a avoir est de la mettre en position laterale de securite, la tete legerement inclinee vers l’arriere de maniere a lui permettre de mieux respirer.» Comme il n’est pas possible de faire avaler du sucre* sous une forme ou sous une autre à une personne inconsciente, il faut appeler le numéro 144 ou avoir recours au glucagon, une hormone qui stimule le foie a liberer du sucre*."
crise d'asthme,"La crise d'asthme est un episode de gene respiratoire sifflante (dyspnee). Elle est caracterisee par :Une inflammation des bronches ,Une contraction des muscles qui entourent les bronches (qui rend le passage de l'air plus difficile, surtout a l’expiration) Une grande secretion de mucus (substance qui protege les bronches) ce qui réduit l'espace pour le flux d’air"
crise d'asthme ?,"Plusieurs facteurs peuvent declencher une crise d'asthme. Ils different d'un patient asthmatique a un autre : Allergenes : acariens, pollens, poils d'animaux, moisissures ,Tabac ,Stress et anxiete , Activite physique ,Substances polluantes ou irritantes ,Virus respiratoire ,Certains medicaments : aspirine, anti-inflammatoires non steroïdiens ,Certains aliments (en cas d'allergie). "
Les gestes d'urgence,"Gardez votre calme et rassurez la victime. En effet, l'angoisse ne peut qu'aggraver la crise ,Mettez la victime dans la position ou elle se sent le mieux (souvent une position assise) et desserrez ses vetements. Surtout, il ne faut pas allonger un malade qui présente une crise d'asthme ,Demandez-lui de respirer lentement et profondement ,Demandez-lui si elle prend habituellement des medicaments (BDCA), procurez-les lui et facilitez leur auto-administration ,S'il s'agit d'une premiere crise, la victime n'a aucun médicament. Dans ce cas, ne lui donnez aucun medicament sans prescription medicale et appelez son medecin traitant ou en son absence le SAMU (15) ,Conformez-vous ensuite aux conseils qui vous seront donnes par le medecin. "
quand doit-on appeler les urgences ?,"Il faut se rendre aux urgences ou appeler le SAMU si la crise est inhabituelle, ou si les medicaments habituellement efficaces ne marchent pas"", explique le Pr Alain Didier, pneumologue et allergologue, chef de service de pneumologie du CHU de Toulouse dans une interview pour la Fondation du Souffle"
personne diabetique," le premier geste a avoir est de la mettre en position laterale de securite, la tete legerement inclinee vers l’arriere de maniere a lui permettre de mieux respirer.» Comme il n’est pas possible de faire avaler du sucre* sous une forme ou sous une autre à une personne inconsciente, il faut appeler le numéro 144 ou avoir recours au glucagon, une hormone qui stimule le foie a liberer du sucre*."
